place,region,subregion,district,constituency
area/kyaka_county,Western,Tooro/Rwenzori,Kyegegwa,Kyaka County
area/luuka_county,Eastern,Busoga,Luuka,Luuka County
area/lwemiyaga_county,Central,Buganda,Sembabule,Lwemiyaga County
area/madi-okollo_county,Northern,West Nile,Arua,Madi-Okollo County
area/makindye_division_east,Central,Buganda,Kampala,Makindye East
area/makindye_division_west,Central,Buganda,Kampala,Makindye West
area/matheniko_county,Northern,Karamoja,Moroto,Matheniko County
area/mawogola_county,Central,Buganda,Sembabule,Mawogola County
area/mawokota_county_north,Central,Buganda,Mpigi,Mawokota North
area/mawokota_county_south,Central,Buganda,Mpigi,Mawokota South
area/mityana_county_north,Central,Buganda,Mityana,Mityana North
area/mityana_county_south,Central,Buganda,Mityana,Mityana South
area/mukono_county_north,Central,Buganda,Mukono,Mukono North
area/mwenge_county_north,Western,Tooro/Rwenzori,Kyenjojo,Mwenge North
area/mwenge_county_south,Western,Tooro/Rwenzori,Kyenjojo,Mwenge South
area/nakaseke_county_north,Central,Buganda,Nakaseke,Nakaseke North
area/nakaseke_county_south,Central,Buganda,Nakaseke,Nakaseke South
area/nakifuma_county,Central,Buganda,Mukono,Nakifuma County
area/ndorwa_county_east,Western,Kigezi,Kabale,Ndorwa East
area/ndorwa_county_west,Western,Kigezi,Kabale,Ndorwa West
area/ntenjeru_county_north,Central,Buganda,Kayunga,Ntenjeru North
area/ntenjeru_county_south,Central,Buganda,Kayunga,Ntenjeru South
area/ntugamo_municipality,Western,Ankole,Ntungamo,Ntungamo Municipality
area/oyam_county_north,Northern,Lango,Oyam,Oyam North
area/oyam_county_south,Northern,Lango,Oyam,Oyam South
area/rubaga_division_north,Central,Buganda,Kampala,Rubaga North
area/rubaga_division_south,Central,Buganda,Kampala,Rubaga South
area/rubanda_county_east,Western,Kigezi,Kabale,Rubanda East
area/rubanda_county_west,Western,Kigezi,Kabale,Rubanda West
area/ruhama_county,Western,Ankole,Ntungamo,Ruhama County
area/ruhinda_county,Western,Ankole,Mitooma,Ruhinda County
area/samia-bugwe_county_north,Eastern,Bukedi,Busia,Samia Bugwe North
area/samia-bugwe_county_south,Eastern,Bukedi,Busia,Samia Bugwe South
area/sheema_county_north,Western,Ankole,Sheema,Sheema North
area/sheema_county_south,Western,Ankole,Sheema,Sheema South
area/terego_county,Northern,West Nile,Arua,Terego County
area/tororo_county,Eastern,Bukedi,Tororo,Tororo County
area/upe_county,Eastern,Karamoja,Amudat,Upe County
area/west_budama_county_north,Eastern,Bukedi,Tororo,West Budama North
area/west_budama_county_south,Eastern,Bukedi,Tororo,West Budama South
area/west_moyo_county,Northern,West Nile,Moyo,West Moyo
area/zombo_district,Northern,West Nile,Zombo,-
